batteryMilliAmps,batteryMilliWatts,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,timestamp,SOC_pct
-30,-412,3,13760,1000,2021-05-28 20:10:00+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:10:01+00:00,100.0
-30,-411,3,13710,1000,2021-05-28 20:10:02+00:00,100.0
-40,-546,3,13670,1000,2021-05-28 20:10:03+00:00,100.0
-30,-408,3,13630,1000,2021-05-28 20:10:04+00:00,100.0
-30,-408,3,13610,1000,2021-05-28 20:10:10+00:00,100.0
-20,-275,3,13760,1000,2021-05-28 20:10:11+00:00,100.0
250,3430,3,13720,1000,2021-05-28 20:10:12+00:00,100.0
-30,-411,3,13700,1000,2021-05-28 20:10:13+00:00,100.0
-30,-412,3,13750,1000,2021-05-28 20:10:14+00:00,100.0
-30,-413,3,13780,1000,2021-05-28 20:10:15+00:00,100.0
-30,-414,3,13800,1000,2021-05-28 20:10:16+00:00,100.0
260,3588,3,13800,1000,2021-05-28 20:10:17+00:00,100.0
-30,-412,3,13760,1000,2021-05-28 20:10:18+00:00,100.0
-40,-551,3,13780,1000,2021-05-28 20:10:19+00:00,100.0
-40,-552,3,13800,1000,2021-05-28 20:10:20+00:00,100.0
-30,-411,3,13730,1000,2021-05-28 20:10:21+00:00,100.0
-40,-547,3,13690,1000,2021-05-28 20:10:22+00:00,100.0
-40,-545,3,13640,1000,2021-05-28 20:10:23+00:00,100.0
-30,-408,3,13620,1000,2021-05-28 20:10:24+00:00,100.0
-40,-543,3,13590,1000,2021-05-28 20:10:25+00:00,100.0
-40,-543,3,13580,1000,2021-05-28 20:10:26+00:00,100.0
-30,-407,3,13570,1000,2021-05-28 20:10:27+00:00,100.0
-30,-406,3,13550,1000,2021-05-28 20:10:28+00:00,100.0
670,9205,3,13740,1000,2021-05-28 20:10:29+00:00,100.0
-40,-550,3,13750,1000,2021-05-28 20:10:30+00:00,100.0
150,2071,3,13810,1000,2021-05-28 20:10:31+00:00,100.0
320,4412,3,13790,1000,2021-05-28 20:10:32+00:00,100.0
60,828,3,13810,1000,2021-05-28 20:10:33+00:00,100.0
-30,-412,3,13760,1000,2021-05-28 20:10:34+00:00,100.0
-20,-275,3,13780,1000,2021-05-28 20:10:35+00:00,100.0
-30,-414,3,13800,1000,2021-05-28 20:10:36+00:00,100.0
80,1100,3,13750,1000,2021-05-28 20:10:37+00:00,100.0
-30,-412,3,13760,1000,2021-05-28 20:10:38+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:10:39+00:00,100.0
-30,-411,3,13730,1000,2021-05-28 20:10:40+00:00,100.0
-30,-410,3,13670,1000,2021-05-28 20:10:41+00:00,100.0
-30,-409,3,13640,1000,2021-05-28 20:10:42+00:00,100.0
190,2622,3,13800,1000,2021-05-28 20:10:43+00:00,100.0
-30,-411,3,13720,1000,2021-05-28 20:10:44+00:00,100.0
-30,-410,3,13670,1000,2021-05-28 20:10:45+00:00,100.0
-30,-408,3,13630,1000,2021-05-28 20:10:46+00:00,100.0
180,2484,3,13800,1000,2021-05-28 20:10:47+00:00,100.0
-30,-412,3,13760,1000,2021-05-28 20:10:48+00:00,100.0
-30,-413,3,13780,1000,2021-05-28 20:10:49+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:10:50+00:00,100.0
-40,-548,3,13710,1000,2021-05-28 20:10:51+00:00,100.0
-30,-410,3,13670,1000,2021-05-28 20:10:52+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:10:53+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:10:54+00:00,100.0
-40,-548,3,13720,1000,2021-05-28 20:10:55+00:00,100.0
420,5783,3,13770,1000,2021-05-28 20:10:57+00:00,100.0
-30,-414,3,13800,1000,2021-05-28 20:10:58+00:00,100.0
-40,-551,3,13780,1000,2021-05-28 20:10:59+00:00,100.0
60,829,3,13820,1000,2021-05-28 20:11:00+00:00,100.0
250,3450,3,13800,1000,2021-05-28 20:11:01+00:00,100.0
-40,-550,3,13760,1000,2021-05-28 20:11:02+00:00,100.0
-30,-413,3,13790,1000,2021-05-28 20:11:03+00:00,100.0
-30,-414,3,13800,1000,2021-05-28 20:11:04+00:00,100.0
-30,-412,3,13750,1000,2021-05-28 20:11:05+00:00,100.0
-30,-410,3,13690,1000,2021-05-28 20:11:06+00:00,100.0
-40,-546,3,13650,1000,2021-05-28 20:11:07+00:00,100.0
-10,-136,3,13620,1000,2021-05-28 20:11:08+00:00,100.0
-40,-549,3,13740,1000,2021-05-28 20:11:09+00:00,100.0
160,2206,3,13790,1000,2021-05-28 20:11:10+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:11:11+00:00,100.0
340,4685,3,13780,1000,2021-05-28 20:11:12+00:00,100.0
-30,-412,3,13760,1000,2021-05-28 20:11:13+00:00,100.0
90,1242,3,13810,1000,2021-05-28 20:11:14+00:00,100.0
-40,-552,3,13800,1000,2021-05-28 20:11:15+00:00,100.0
270,3720,3,13780,1000,2021-05-28 20:11:16+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:11:17+00:00,100.0
-30,-411,3,13710,1000,2021-05-28 20:11:18+00:00,100.0
280,3844,3,13730,1000,2021-05-28 20:11:19+00:00,100.0
-40,-552,3,13810,1000,2021-05-28 20:11:20+00:00,100.0
-30,-412,3,13750,1000,2021-05-28 20:11:21+00:00,100.0
-40,-548,3,13700,1000,2021-05-28 20:11:22+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:11:23+00:00,100.0
-30,-411,3,13710,1000,2021-05-28 20:11:24+00:00,100.0
-40,-550,3,13770,1000,2021-05-28 20:11:25+00:00,100.0
-40,-551,3,13780,1000,2021-05-28 20:11:26+00:00,100.0
-30,-411,3,13730,1000,2021-05-28 20:11:27+00:00,100.0
-40,-547,3,13680,1000,2021-05-28 20:11:28+00:00,100.0
-30,-409,3,13650,1000,2021-05-28 20:11:29+00:00,100.0
190,2622,3,13800,1000,2021-05-28 20:11:30+00:00,100.0
-30,-414,3,13810,1000,2021-05-28 20:11:31+00:00,100.0
-40,-549,3,13740,1000,2021-05-28 20:11:32+00:00,100.0
-30,-414,3,13800,1000,2021-05-28 20:11:33+00:00,100.0
-30,-413,3,13780,1000,2021-05-28 20:11:34+00:00,100.0
-30,-412,3,13740,1000,2021-05-28 20:11:36+00:00,100.0
-30,-410,3,13690,1000,2021-05-28 20:11:38+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:11:39+00:00,100.0
-30,-413,3,13770,1000,2021-05-28 20:11:40+00:00,100.0
-30,-411,3,13720,1000,2021-05-28 20:11:41+00:00,100.0
-30,-409,3,13660,1000,2021-05-28 20:11:42+00:00,100.0
-40,-545,3,13640,1000,2021-05-28 20:11:43+00:00,100.0
-30,-408,3,13610,1000,2021-05-28 20:11:44+00:00,100.0
-30,-407,3,13580,1000,2021-05-28 20:11:45+00:00,100.0
-30,-407,3,13570,1000,2021-05-28 20:11:46+00:00,100.0
-30,-406,3,13550,1000,2021-05-28 20:11:47+00:00,100.0
-40,-542,3,13550,1000,2021-05-28 20:11:48+00:00,100.0
310,4293,3,13850,1000,2021-05-28 20:11:49+00:00,100.0
-40,-551,3,13780,1000,2021-05-28 20:11:50+00:00,100.0
190,2610,3,13740,1000,2021-05-28 20:11:51+00:00,100.0
-30,-412,3,13740,1000,2021-05-28 20:11:52+00:00,100.0
490,6771,3,13820,1000,2021-05-28 20:11:53+00:00,100.0
210,2898,3,13800,1000,2021-05-28 20:11:54+00:00,100.0
-30,-413,3,13780,1000,2021-05-28 20:11:55+00:00,100.0
210,2898,3,13800,1000,2021-05-28 20:11:56+00:00,100.0
-40,-550,3,13760,1000,2021-05-28 20:11:57+00:00,100.0
-30,-411,3,13710,1000,2021-05-28 20:11:58+00:00,100.0
430,5921,3,13770,1000,2021-05-28 20:11:59+00:00,100.0
