batteryMilliAmps,batteryMilliWatts,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
-0.04,-0.00546,3,13.67,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
-0.03,-0.00408,3,13.61,1.0,10.0,10.0
-0.02,-0.00275,3,13.76,1.0,10.0,10.0
0.25,0.0343,3,13.72,1.0,10.0,10.0
-0.03,-0.00411,3,13.7,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
0.26,0.03588,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
-0.04,-0.00552,3,13.8,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.04,-0.00547,3,13.69,1.0,10.0,10.0
-0.04,-0.00545,3,13.64,1.0,10.0,10.0
-0.03,-0.00408,3,13.62,1.0,10.0,10.0
-0.04,-0.00543,3,13.59,1.0,10.0,10.0
-0.04,-0.00543,3,13.58,1.0,10.0,10.0
-0.03,-0.00407,3,13.57,1.0,10.0,10.0
-0.03,-0.00406,3,13.55,1.0,10.0,10.0
0.67,0.09205,3,13.74,1.0,10.0,10.0
-0.04,-0.0055,3,13.75,1.0,10.0,10.0
0.15,0.02071,3,13.81,1.0,10.0,10.0
0.32,0.04412,3,13.79,1.0,10.0,10.0
0.06,0.00828,3,13.81,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.02,-0.00275,3,13.78,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
0.08,0.011,3,13.75,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
-0.03,-0.00409,3,13.64,1.0,10.0,10.0
0.19,0.02622,3,13.8,1.0,10.0,10.0
-0.03,-0.00411,3,13.72,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
0.18,0.02484,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00548,3,13.71,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00548,3,13.72,1.0,10.0,10.0
0.42,0.05783,3,13.77,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
0.06,0.00829,3,13.82,1.0,10.0,10.0
0.25,0.0345,3,13.8,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.03,-0.0041,3,13.69,1.0,10.0,10.0
-0.04,-0.00546,3,13.65,1.0,10.0,10.0
-0.01,-0.00136,3,13.62,1.0,10.0,10.0
-0.04,-0.00549,3,13.74,1.0,10.0,10.0
0.16,0.02206,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
0.34,0.04685,3,13.78,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
0.09,0.01242,3,13.81,1.0,10.0,10.0
-0.04,-0.00552,3,13.8,1.0,10.0,10.0
0.27,0.0372,3,13.78,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
0.28,0.03844,3,13.73,1.0,10.0,10.0
-0.04,-0.00552,3,13.81,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
-0.03,-0.00409,3,13.65,1.0,10.0,10.0
0.19,0.02622,3,13.8,1.0,10.0,10.0
-0.03,-0.00414,3,13.81,1.0,10.0,10.0
-0.04,-0.00549,3,13.74,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.03,-0.0041,3,13.69,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.72,1.0,10.0,10.0
-0.03,-0.00409,3,13.66,1.0,10.0,10.0
-0.04,-0.00545,3,13.64,1.0,10.0,10.0
-0.03,-0.00408,3,13.61,1.0,10.0,10.0
-0.03,-0.00407,3,13.58,1.0,10.0,10.0
-0.03,-0.00407,3,13.57,1.0,10.0,10.0
-0.03,-0.00406,3,13.55,1.0,10.0,10.0
-0.04,-0.00542,3,13.55,1.0,10.0,10.0
0.31,0.04293,3,13.85,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
0.19,0.0261,3,13.74,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
0.49,0.06771,3,13.82,1.0,10.0,10.0
0.21,0.02898,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
0.21,0.02898,3,13.8,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
-0.03,-0.00411,3,13.71,1.0,10.0,10.0
0.43,0.05921,3,13.77,1.0,10.0,10.0
0.06,0.0083,3,13.84,1.0,10.0,10.0
-0.03,-0.00414,3,13.81,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
0.43,0.05946,3,13.83,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.04,-0.00548,3,13.7,1.0,10.0,10.0
-0.04,-0.00546,3,13.67,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
0.27,0.03723,3,13.79,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00548,3,13.72,1.0,10.0,10.0
0.4,0.05512,3,13.78,1.0,10.0,10.0
-0.04,-0.00552,3,13.81,1.0,10.0,10.0
0.03,0.00412,3,13.76,1.0,10.0,10.0
0.35,0.04844,3,13.84,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00548,3,13.71,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
-0.03,-0.00408,3,13.63,1.0,10.0,10.0
0.05,0.00691,3,13.82,1.0,10.0,10.0
-0.04,-0.00552,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.04,-0.00548,3,13.72,1.0,10.0,10.0
-0.04,-0.00547,3,13.68,1.0,10.0,10.0
-0.03,-0.00409,3,13.65,1.0,10.0,10.0
-0.04,-0.00544,3,13.61,1.0,10.0,10.0
-0.03,-0.00408,3,13.6,1.0,10.0,10.0
-0.04,-0.00542,3,13.57,1.0,10.0,10.0
-0.04,-0.00542,3,13.56,1.0,10.0,10.0
-0.03,-0.00406,3,13.55,1.0,10.0,10.0
0.44,0.06085,3,13.83,1.0,10.0,10.0
0.46,0.06361,3,13.83,1.0,10.0,10.0
-0.04,-0.0055,3,13.76,1.0,10.0,10.0
0.03,0.00414,3,13.82,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.04,-0.00547,3,13.69,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
0.17,0.02346,3,13.8,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00411,3,13.72,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
-0.04,-0.00545,3,13.64,1.0,10.0,10.0
0.6,0.08292,3,13.82,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.04,-0.00548,3,13.71,1.0,10.0,10.0
-0.02,-0.00275,3,13.79,1.0,10.0,10.0
0.07,0.00967,3,13.82,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.03,-0.00411,3,13.7,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
0.08,0.01105,3,13.82,1.0,10.0,10.0
0.06,0.00829,3,13.82,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.03,-0.00411,3,13.7,1.0,10.0,10.0
-0.03,-0.0041,3,13.67,1.0,10.0,10.0
0.39,0.05346,3,13.71,1.0,10.0,10.0
-0.02,-0.00276,3,13.81,1.0,10.0,10.0
-0.04,-0.00549,3,13.74,1.0,10.0,10.0
0.34,0.04702,3,13.83,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
-0.01,-0.00136,3,13.69,1.0,10.0,10.0
-0.03,-0.00412,3,13.75,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
-0.02,-0.00274,3,13.73,1.0,10.0,10.0
-0.03,-0.0041,3,13.68,1.0,10.0,10.0
-0.04,-0.00545,3,13.63,1.0,10.0,10.0
-0.04,-0.00544,3,13.62,1.0,10.0,10.0
-0.04,-0.00543,3,13.59,1.0,10.0,10.0
-0.02,-0.00271,3,13.58,1.0,10.0,10.0
-0.03,-0.00406,3,13.56,1.0,10.0,10.0
0.44,0.06085,3,13.83,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00412,3,13.74,1.0,10.0,10.0
0.03,0.0041,3,13.68,1.0,10.0,10.0
-0.03,-0.00413,3,13.77,1.0,10.0,10.0
0.17,0.02346,3,13.8,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
-0.03,-0.0041,3,13.68,1.0,10.0,10.0
-0.03,-0.00409,3,13.65,1.0,10.0,10.0
0.4,0.05532,3,13.83,1.0,10.0,10.0
0.39,0.05397,3,13.84,1.0,10.0,10.0
-0.04,-0.0055,3,13.75,1.0,10.0,10.0
-0.03,-0.0041,3,13.69,1.0,10.0,10.0
-0.03,-0.00409,3,13.66,1.0,10.0,10.0
-0.03,-0.00408,3,13.62,1.0,10.0,10.0
-0.04,-0.00544,3,13.6,1.0,10.0,10.0
0.35,0.04774,3,13.64,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.03,-0.00413,3,13.79,1.0,10.0,10.0
-0.04,-0.00551,3,13.78,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
0.27,0.0372,3,13.78,1.0,10.0,10.0
-0.04,-0.0055,3,13.77,1.0,10.0,10.0
-0.03,-0.00414,3,13.8,1.0,10.0,10.0
-0.03,-0.00412,3,13.76,1.0,10.0,10.0
-0.03,-0.00413,3,13.78,1.0,10.0,10.0
-0.03,-0.00411,3,13.73,1.0,10.0,10.0
