Time_s,Bat_V,Dcdc_A,Grid_A,Grid_V,Grid_W,Load_W,RSSI_dB,SOC_pct,Solar_V,Solar_W,UsbInfo,ChgState,GridInfo,Int_degC,LoadInfo,ErrorFlags,ResetReason,BatUsable_Ah,DeepDisCount,FullChgCount,BatChgTotal_Wh,BatDisTotal_Wh,CommErrorFlags,LoadOutTotal_mWh,SolarInTotal_mWh,GridExportTotal_mWh,GridImportTotal_mWh
1629151200,12.386786460876,0,0,11.9402704239,0,4.527210712432,-85,68,0.85462474823,-0.02504681237041,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,433,0,554840,672295,6,0
1629151500,12.388554573059,0.001562500023283,-0.00162076833658,11.9431734085,-0.01935711689293,4.4151301384,-85,68,0.855591773986,-0.0187877882272,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,433,0,555169,672295,6,0
1629151800,12.383839607238,0.0031250000465661,-0.0032410908024758,11.9402704239,-0.03869950026273,4.4885725975,-83,68,0.853280067443,-0.05008170753717,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,433,0,555545,672295,6,0
1629152100,12.4091796875,0.00234375009313,-0.00243224366568,11.957690238952,-0.02908401563763,1.863087654113,-85,68,0.857792854309,-0.03763813525438,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,434,0,555876,672295,6,0
1629152400,12.378536224365,-0.0007812500116415,0.0008102212450467,11.935914993286,0.00967073161155,4.3677573204,-85,68,0.854385375976,-0.01877259463071,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,434,0,556202,672295,6,0
1629152700,12.354964256286,0.001562500023283,-0.0016201152466237,11.915591239929,-0.01930463127791,5.558598041534,-85,67,0.857249259948,-0.02498246543109,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,434,0,556535,672295,6,0
1629153000,12.346125602722,0.00390625,-0.00405183341354,11.9025259018,-0.04822705313563,5.710649967193,-85,67,0.852416038513,-0.01248229667544,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,435,0,556955,672295,6,0
1629153300,12.346125602722,0.0031250000465661,-0.0032414668239653,11.9025259018,-0.03858164325356,5.716891288757,-85,67,0.853216171264,-0.03120573796331,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,435,0,557381,672295,6,0
1629153600,12.367339134216,0.001562500023283,-0.00162035622634,11.92575263977,-0.01932396739721,4.451332569122,-85,67,0.853602409362,0.01250374410301,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,436,0,557731,672295,6,0
1629153900,12.366750717163,0.00390625,-0.00404823385179,11.933011055,-0.04830761998891,4.44486951828,-85,67,0.855417251587,-0.037509445101,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,436,0,558059,672295,6,0
1629154200,12.385607719421,-0.0007812500116415,0.0008114736992865,11.924300193786,0.00967625621706,1.803198575973,-83,66,0.8542470932,0,1,1,1,30.4733734131,1,0,4101,3.032487392425,9,6,555,436,0,558387,672295,6,0
1629154500,12.352018356323,0.00468750018626,-0.0048603718169,11.912687301635,-0.05790008977055,4.427085876464,-85,66,0.855103492736,-0.0437088869512,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,437,0,558728,672295,6,0
1629154800,12.35260772705,0,0,11.909784317016,0,4.352364063262,-85,66,0.856494903564,-0.0124888503924,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,437,0,559055,672295,6,0
1629155100,12.349661827087,0.001562500023283,-0.00162100000307,11.903976440429,-0.01929634623229,4.301382541656,-83,66,0.85755443573,-0.0187288057059,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,437,0,559382,672295,6,0
1629155400,12.346714019775,0.001562500023283,-0.0016212064074352,11.899621009826,-0.01929174177348,4.33156299591,-85,66,0.856207847595,-0.02496578358113,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,437,0,559706,672295,6,0
1629155700,12.3473033905,0.0007812500116415,-0.0008098514517769,11.911234855651,-0.00964633096009,4.3504948616,-85,65,0.855195999145,-0.02496697567403,1,1,1,30.236686706542,1,0,4101,3.032487392425,9,6,555,438,0,560028,672295,6,0
1629156000,12.354375839233,0.0031250000465661,-0.00323731568642,11.92575263977,-0.03860742598772,4.390459060668,-83,65,0.855858802795,-0.018735954538,1,1,1,30,1,0,4101,3.032487392425,9,6,555,438,0,560354,672295,6,0
1629156300,12.339053154,0.001562500023283,-0.0016207933658733,11.895267486572,-0.01927977055311,4.397488594055,-83,65,0.855756759643,-0.0374254360795,1,1,1,30,1,0,4101,3.032487392425,9,6,555,438,0,560690,672295,6,0
1629156600,12.334339141845,0.00234375009313,-0.00243026134558,11.895267486572,-0.02890860848128,4.25239944458,-85,65,0.8542470932,-0.01870556920766,1,1,1,30,1,0,4101,3.032487392425,9,6,555,439,0,561036,672295,6,0
1629156900,12.341411590576,0.00234375009313,-0.0024313582107424,11.8967180252,-0.02892518229782,4.136301040649,-85,65,0.85571193695,-0.04367135465145,1,1,1,30,1,0,4101,3.032487392425,9,6,555,439,0,561370,672295,6,0
1629157200,12.3473033905,0.00234375009313,-0.00243192561902,11.899621009826,-0.0289389938116,3.707595348358,-83,65,0.856797218322,-0.04993395134806,1,1,1,30,1,0,4101,3.032487392425,9,6,555,439,0,561680,672295,6,0
1629157500,12.3478937149,0.001562500023283,-0.0016207679873332,11.903976440429,-0.01929358392953,3.514269590377,-85,65,0.855786323547,-0.01248408481478,1,1,1,30,1,0,4101,3.032487392425,9,6,555,440,0,561975,672295,6,0
