batteryMilliWatts,batteryMilliAmps,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
-0.04502,-0.363,1,12.386,5.0,7.0,6.8
-0.04376,-0.353,1,12.388,5.0,6.8957,6.8
-0.04399,-0.355,1,12.383,5.0,6.8961,6.8
-0.01796,-0.144,1,12.409,5.0,6.6631,6.8
-0.04358,-0.352,1,12.378,5.0,6.666,6.8
-0.05514,-0.446,1,12.354,5.0,6.6642,6.7
-0.05649,-0.457,1,12.346,5.0,6.6668,6.7
-0.05647,-0.457,1,12.346,5.0,6.6664,6.7
-0.04444,-0.359,1,12.367,5.0,6.6591,6.7
-0.04359,-0.352,1,12.366,5.0,6.6506,6.7
-0.01812,-0.146,1,12.385,5.0,6.5165,6.6
-0.04325,-0.35,1,12.352,5.0,6.5095,6.6
-0.04339,-0.351,1,12.352,5.0,6.5038,6.6
-0.04263,-0.345,1,12.349,5.0,6.4969,6.6
-0.04287,-0.347,1,12.346,5.0,6.4884,6.6
-0.04315,-0.349,1,12.347,5.0,6.4822,6.5
-0.04333,-0.35,1,12.354,5.0,6.4803,6.5
-0.0434,-0.351,1,12.339,5.0,6.4724,6.5
-0.04204,-0.34,1,12.334,5.0,6.4605,6.5
-0.04063,-0.329,1,12.341,5.0,6.4501,6.5
-0.03628,-0.293,1,12.347,5.0,6.4326,6.5
-0.03482,-0.282,1,12.347,5.0,6.4121,6.5
-0.03103,-0.251,1,12.353,5.0,6.3847,6.5
-0.02922,-0.236,1,12.351,5.0,6.3726,6.5
-0.02933,-0.237,1,12.343,5.0,6.358,6.5
-0.02617,-0.211,1,12.362,5.0,6.3482,6.5
-0.02518,-0.203,1,12.363,5.0,6.3379,6.5
-0.02455,-0.198,1,12.361,5.0,6.3259,6.5
-0.0238,-0.192,1,12.362,5.0,6.314,6.5
-0.02295,-0.185,1,12.364,5.0,6.3026,6.4
-0.02221,-0.179,1,12.363,5.0,6.29,6.4
-0.03645,-0.295,1,12.32,5.0,6.2945,6.4
-0.03727,-0.302,1,12.319,5.0,6.2973,6.4
-0.03372,-0.273,1,12.324,5.0,6.2965,6.4
-0.03983,-0.323,1,12.307,5.0,6.3008,6.4
-0.0405,-0.329,1,12.302,5.0,6.3045,6.4
-0.04043,-0.328,1,12.303,5.0,6.3097,6.4
-0.04109,-0.334,1,12.298,5.0,6.3141,6.4
-0.04075,-0.331,1,12.296,5.0,6.3166,6.4
-0.04168,-0.339,1,12.293,5.0,6.3186,6.4
-0.04084,-0.332,1,12.293,5.0,6.319,6.4
-0.04049,-0.329,1,12.29,5.0,6.3187,6.4
-0.04098,-0.333,1,12.287,5.0,6.3184,6.4
-0.04098,-0.333,1,12.284,5.0,6.3177,6.4
-0.04056,-0.33,1,12.282,5.0,6.3163,6.4
-0.04094,-0.333,1,12.281,5.0,6.3149,6.4
