Time_s,Bat_V,Dcdc_A,Grid_A,Grid_V,Grid_W,Load_W,RSSI_dB,SOC_pct,Solar_V,Solar_W,UsbInfo,ChgState,GridInfo,Int_degC,LoadInfo,ErrorFlags,ResetReason,BatUsable_Ah,DeepDisCount,FullChgCount,BatChgTotal_Wh,BatDisTotal_Wh,CommErrorFlags,LoadOutTotal_mWh,SolarInTotal_mWh,GridExportTotal_mWh,GridImportTotal_mWh
1628674500,12.566518783569,,0.00081001361832,12.120281219482,0.00981759279966,0.22233960032463,-111,80,1.031153678894,0,1,1,1,28.8269786835,1,0,,0,0,1,0,0,0,265,376,0,0
1628683800,12.533517837524,,-0.0024265660904347,12.105763435363,-0.02937543578445,0.04435114189982,-93,76,1.02939414978,0,1,1,1,30.7038116455,1,0,,0,0,1,0,0,0,270,376,0,0
1628684100,12.544125556945,,-0.00242716423236,12.113021850585,-0.029400292784,0.01268248073756,-93,77,1.02878665924,0,1,1,1,30.7038116455,1,0,,0,0,1,0,0,0,271,376,0,0
1628684400,12.507590293884,,-0.00485415197909,12.078181266784,-0.05862932652235,-0.05690493062138,-97,74,1.025094985961,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,275,376,0,0
1628684700,12.783375740051,,0,12.358359336853,0,-9.576956748962,-93,73,1.046140670776,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,279,376,0,0
1628685000,12.595982551574,,-0.0016182048711925,12.1623802185,-0.01968122273683,-0.05093963816761,-91,78,1.031778335571,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,280,376,0,0
1628685300,12.595982551574,,-0.0016182048711925,12.1623802185,-0.01968122273683,-0.05093963816761,-91,78,1.031778335571,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,280,376,0,0
1628685600,12.490499496459,,-0.00323712686077,12.057857513427,-0.03903281316161,0.00631413143128,-99,73,1.020020484924,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,290,376,0,0
1628685900,12.47812461853,,-0.00161890895106,12.0433397293,-0.01949707046151,-0.01261575147509,-93,72,1.019661903381,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,294,376,0,0
1628686200,12.471054077148,,0.0040454659611,12.041889190673,0.04871505126357,-0.03152150288224,-87,72,1.020602226257,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,298,376,0,0
1628686500,12.466340065,,-0.002428411738947,12.031726837158,-0.02921798639,-0.01890575326979,-93,71,1.01909160614,0,1,1,1,30.4692077637,1,0,,0,0,1,0,0,0,302,376,0,0
1628686800,12.461035728454,,-0.00242825737223,12.027371406555,-0.02920555323362,-0.01889770850539,-89,71,1.02179813385,0,1,1,1,30,1,0,,0,0,1,0,0,0,306,376,0,0
1628687100,12.455732345581,,-0.00323707982898,12.024468421936,-0.03892416507005,-0.03148277848958,-89,70,1.016494750976,0,1,1,1,30.234603881835,1,0,,0,0,1,0,0,0,310,376,0,0
1628687400,12.449840545654,,-0.0040473672561347,12.0157585144,-0.04863218590617,-0.00629357760772,-85,70,1.018612861633,0,1,1,1,30,1,0,,0,0,1,0,0,0,314,376,0,0
1628687700,12.4463043213,,-0.00323736574501,12.01430606842,-0.03889470174908,0.0062917903997,-85,70,1.015878677368,0,1,1,1,30,1,0,,0,0,1,0,0,0,318,376,0,0
1628688000,12.43982219696,,0.001618230715394,12.0114030838,0.01943722181022,0,-85,70,1.015805244445,0,1,1,1,30,1,0,,0,0,1,0,0,0,322,376,0,0
1628688300,12.4386434555,,-0.00404617143795,12.008500099182,-0.04858845099806,-0.01886375062167,-85,69,1.015426635742,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,325,376,0,0
1628688600,12.4386434555,,0,12.005597114562,0,0,-85,69,1.016228675842,0,1,1,1,30,1,0,,0,0,1,0,0,0,329,376,0,0
1628688900,12.433340072631,,-0.00485803419724,11.996886253356,-0.05828128382563,0.01257047336548,-85,69,1.014128684997,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,332,376,0,0
1628689200,12.429803848266,,-0.00485724024475,11.995433807373,-0.05826470255851,0.00628344900906,-85,69,1.015399932861,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,337,376,0,0
1628689500,12.430393219,,-0.00566704943776,11.995433807373,-0.06797871738672,0,-85,69,1.01678943634,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,342,376,0,0
1628689800,12.426268577575,,-0.0032391990534961,11.988176345825,-0.03883209079504,-0.01884498260915,-85,69,1.019073486328,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,349,376,0,0
1628690100,12.423911094665,,-0.00485787726939,11.988176345825,-0.05823709070682,-0.03768281638622,-85,68,1.019920349121,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,352,376,0,0
1628690400,12.41035747528,,0,11.979465484619,0,0.282312810421,-93,68,1.015979766845,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,362,376,0,0
1628690700,12.419197082519,,-0.0016196585493162,11.9809179306,-0.01940499618649,-0.03139043226838,-91,68,1.018410682678,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,370,376,0,0
1628691000,12.417428970336,,-0.0008095178636722,11.983820915222,-0.00970111694186,-0.04394035041332,-85,68,1.017443656921,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,374,376,0,0
1628691300,12.416250228881,,0,11.979465484619,0,-0.01882979087531,-85,68,1.017867088317,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,378,376,0,0
1628691600,12.4168395996,,0.00242932117544,11.979465484619,0.02910196967422,-0.0313844718039,-85,67,1.018456459045,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,381,376,0,0
1628691900,12.412125587463,,0.0008095643715932,11.9780139923,0.00969697348773,-0.02509805001318,-85,67,1.018548965454,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,384,376,0,0
1628692200,12.409768104553,,-0.0024285262916237,11.9765625,-0.02908539772033,-0.0125466408208,-83,67,1.017793655395,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,388,376,0,0
1628692500,12.4062318802,,-0.00485743489116,11.9722070694,-0.05815421789884,0,-85,67,1.017461776733,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,393,376,0,0
1628692800,12.4062318802,,0.0008095724624581,11.9722070694,0.00969236902892,-0.00627153320238,-85,67,1.017461776733,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,397,376,0,0
1628693100,12.403875350952,,-0.00485592335463,11.9736585617,-0.05814316868782,0.01254068315029,-83,67,1.015906333923,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,401,376,0,0
1628693400,12.403875350952,,0.00161903363187,11.970755577087,0.01938105560839,-0.03762204572558,-83,67,1.014303207397,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,404,376,0,0
1628693700,12.403285980224,,0.0008094783988781,11.970755577087,0.00969006773084,-0.01881012879312,-85,67,1.01451587677,0,1,1,1,29.5307922363,1,0,,0,0,1,0,0,0,409,376,0,0
1628694000,12.401517868041,,0.0016187258297577,11.970755577087,0.01937737129628,-0.01253829989582,-85,67,1.013548851013,0,1,1,1,29.765396118164,1,0,,0,0,1,0,0,0,414,376,0,0
